"especie","ilha","comprimento_bico","profundidade_bico","comprimento_nadadeira","massa_corporal","sexo","ano"
"1","Pinguim-de-adélia","Torgersen",39.1,18.7,181,3750,"macho",2007
"2","Pinguim-de-adélia","Torgersen",39.5,17.4,186,3800,"fêmea",2007
"3","Pinguim-de-adélia","Torgersen",40.3,18,195,3250,"fêmea",2007
"4","Pinguim-de-adélia","Torgersen",NA,NA,NA,NA,NA,2007
"5","Pinguim-de-adélia","Torgersen",36.7,19.3,193,3450,"fêmea",2007
"6","Pinguim-de-adélia","Torgersen",39.3,20.6,190,3650,"macho",2007
"7","Pinguim-de-adélia","Torgersen",38.9,17.8,181,3625,"fêmea",2007
"8","Pinguim-de-adélia","Torgersen",39.2,19.6,195,4675,"macho",2007
"9","Pinguim-de-adélia","Torgersen",34.1,18.1,193,3475,NA,2007
"10","Pinguim-de-adélia","Torgersen",42,20.2,190,4250,NA,2007
"11","Pinguim-de-adélia","Torgersen",37.8,17.1,186,3300,NA,2007
"12","Pinguim-de-adélia","Torgersen",37.8,17.3,180,3700,NA,2007
"13","Pinguim-de-adélia","Torgersen",41.1,17.6,182,3200,"fêmea",2007
"14","Pinguim-de-adélia","Torgersen",38.6,21.2,191,3800,"macho",2007
"15","Pinguim-de-adélia","Torgersen",34.6,21.1,198,4400,"macho",2007
"16","Pinguim-de-adélia","Torgersen",36.6,17.8,185,3700,"fêmea",2007
"17","Pinguim-de-adélia","Torgersen",38.7,19,195,3450,"fêmea",2007
"18","Pinguim-de-adélia","Torgersen",42.5,20.7,197,4500,"macho",2007
"19","Pinguim-de-adélia","Torgersen",34.4,18.4,184,3325,"fêmea",2007
"20","Pinguim-de-adélia","Torgersen",46,21.5,194,4200,"macho",2007
"21","Pinguim-de-adélia","Biscoe",37.8,18.3,174,3400,"fêmea",2007
"22","Pinguim-de-adélia","Biscoe",37.7,18.7,180,3600,"macho",2007
"23","Pinguim-de-adélia","Biscoe",35.9,19.2,189,3800,"fêmea",2007
"24","Pinguim-de-adélia","Biscoe",38.2,18.1,185,3950,"macho",2007
"25","Pinguim-de-adélia","Biscoe",38.8,17.2,180,3800,"macho",2007
"26","Pinguim-de-adélia","Biscoe",35.3,18.9,187,3800,"fêmea",2007
"27","Pinguim-de-adélia","Biscoe",40.6,18.6,183,3550,"macho",2007
"28","Pinguim-de-adélia","Biscoe",40.5,17.9,187,3200,"fêmea",2007
"29","Pinguim-de-adélia","Biscoe",37.9,18.6,172,3150,"fêmea",2007
"30","Pinguim-de-adélia","Biscoe",40.5,18.9,180,3950,"macho",2007
"31","Pinguim-de-adélia","Dream",39.5,16.7,178,3250,"fêmea",2007
"32","Pinguim-de-adélia","Dream",37.2,18.1,178,3900,"macho",2007
"33","Pinguim-de-adélia","Dream",39.5,17.8,188,3300,"fêmea",2007
"34","Pinguim-de-adélia","Dream",40.9,18.9,184,3900,"macho",2007
"35","Pinguim-de-adélia","Dream",36.4,17,195,3325,"fêmea",2007
"36","Pinguim-de-adélia","Dream",39.2,21.1,196,4150,"macho",2007
"37","Pinguim-de-adélia","Dream",38.8,20,190,3950,"macho",2007
"38","Pinguim-de-adélia","Dream",42.2,18.5,180,3550,"fêmea",2007
"39","Pinguim-de-adélia","Dream",37.6,19.3,181,3300,"fêmea",2007
"40","Pinguim-de-adélia","Dream",39.8,19.1,184,4650,"macho",2007
"41","Pinguim-de-adélia","Dream",36.5,18,182,3150,"fêmea",2007
"42","Pinguim-de-adélia","Dream",40.8,18.4,195,3900,"macho",2007
"43","Pinguim-de-adélia","Dream",36,18.5,186,3100,"fêmea",2007
"44","Pinguim-de-adélia","Dream",44.1,19.7,196,4400,"macho",2007
"45","Pinguim-de-adélia","Dream",37,16.9,185,3000,"fêmea",2007
"46","Pinguim-de-adélia","Dream",39.6,18.8,190,4600,"macho",2007
"47","Pinguim-de-adélia","Dream",41.1,19,182,3425,"macho",2007
"48","Pinguim-de-adélia","Dream",37.5,18.9,179,2975,NA,2007
"49","Pinguim-de-adélia","Dream",36,17.9,190,3450,"fêmea",2007
"50","Pinguim-de-adélia","Dream",42.3,21.2,191,4150,"macho",2007
"51","Pinguim-de-adélia","Biscoe",39.6,17.7,186,3500,"fêmea",2008
"52","Pinguim-de-adélia","Biscoe",40.1,18.9,188,4300,"macho",2008
"53","Pinguim-de-adélia","Biscoe",35,17.9,190,3450,"fêmea",2008
"54","Pinguim-de-adélia","Biscoe",42,19.5,200,4050,"macho",2008
"55","Pinguim-de-adélia","Biscoe",34.5,18.1,187,2900,"fêmea",2008
"56","Pinguim-de-adélia","Biscoe",41.4,18.6,191,3700,"macho",2008
"57","Pinguim-de-adélia","Biscoe",39,17.5,186,3550,"fêmea",2008
"58","Pinguim-de-adélia","Biscoe",40.6,18.8,193,3800,"macho",2008
"59","Pinguim-de-adélia","Biscoe",36.5,16.6,181,2850,"fêmea",2008
"60","Pinguim-de-adélia","Biscoe",37.6,19.1,194,3750,"macho",2008
"61","Pinguim-de-adélia","Biscoe",35.7,16.9,185,3150,"fêmea",2008
"62","Pinguim-de-adélia","Biscoe",41.3,21.1,195,4400,"macho",2008
"63","Pinguim-de-adélia","Biscoe",37.6,17,185,3600,"fêmea",2008
"64","Pinguim-de-adélia","Biscoe",41.1,18.2,192,4050,"macho",2008
"65","Pinguim-de-adélia","Biscoe",36.4,17.1,184,2850,"fêmea",2008
"66","Pinguim-de-adélia","Biscoe",41.6,18,192,3950,"macho",2008
"67","Pinguim-de-adélia","Biscoe",35.5,16.2,195,3350,"fêmea",2008
"68","Pinguim-de-adélia","Biscoe",41.1,19.1,188,4100,"macho",2008
"69","Pinguim-de-adélia","Torgersen",35.9,16.6,190,3050,"fêmea",2008
"70","Pinguim-de-adélia","Torgersen",41.8,19.4,198,4450,"macho",2008
"71","Pinguim-de-adélia","Torgersen",33.5,19,190,3600,"fêmea",2008
"72","Pinguim-de-adélia","Torgersen",39.7,18.4,190,3900,"macho",2008
"73","Pinguim-de-adélia","Torgersen",39.6,17.2,196,3550,"fêmea",2008
"74","Pinguim-de-adélia","Torgersen",45.8,18.9,197,4150,"macho",2008
"75","Pinguim-de-adélia","Torgersen",35.5,17.5,190,3700,"fêmea",2008
"76","Pinguim-de-adélia","Torgersen",42.8,18.5,195,4250,"macho",2008
"77","Pinguim-de-adélia","Torgersen",40.9,16.8,191,3700,"fêmea",2008
"78","Pinguim-de-adélia","Torgersen",37.2,19.4,184,3900,"macho",2008
"79","Pinguim-de-adélia","Torgersen",36.2,16.1,187,3550,"fêmea",2008
"80","Pinguim-de-adélia","Torgersen",42.1,19.1,195,4000,"macho",2008
"81","Pinguim-de-adélia","Torgersen",34.6,17.2,189,3200,"fêmea",2008
"82","Pinguim-de-adélia","Torgersen",42.9,17.6,196,4700,"macho",2008
"83","Pinguim-de-adélia","Torgersen",36.7,18.8,187,3800,"fêmea",2008
"84","Pinguim-de-adélia","Torgersen",35.1,19.4,193,4200,"macho",2008
"85","Pinguim-de-adélia","Dream",37.3,17.8,191,3350,"fêmea",2008
"86","Pinguim-de-adélia","Dream",41.3,20.3,194,3550,"macho",2008
"87","Pinguim-de-adélia","Dream",36.3,19.5,190,3800,"macho",2008
"88","Pinguim-de-adélia","Dream",36.9,18.6,189,3500,"fêmea",2008
"89","Pinguim-de-adélia","Dream",38.3,19.2,189,3950,"macho",2008
"90","Pinguim-de-adélia","Dream",38.9,18.8,190,3600,"fêmea",2008
"91","Pinguim-de-adélia","Dream",35.7,18,202,3550,"fêmea",2008
"92","Pinguim-de-adélia","Dream",41.1,18.1,205,4300,"macho",2008
"93","Pinguim-de-adélia","Dream",34,17.1,185,3400,"fêmea",2008
"94","Pinguim-de-adélia","Dream",39.6,18.1,186,4450,"macho",2008
"95","Pinguim-de-adélia","Dream",36.2,17.3,187,3300,"fêmea",2008
"96","Pinguim-de-adélia","Dream",40.8,18.9,208,4300,"macho",2008
"97","Pinguim-de-adélia","Dream",38.1,18.6,190,3700,"fêmea",2008
"98","Pinguim-de-adélia","Dream",40.3,18.5,196,4350,"macho",2008
"99","Pinguim-de-adélia","Dream",33.1,16.1,178,2900,"fêmea",2008
"100","Pinguim-de-adélia","Dream",43.2,18.5,192,4100,"macho",2008
"101","Pinguim-de-adélia","Biscoe",35,17.9,192,3725,"fêmea",2009
"102","Pinguim-de-adélia","Biscoe",41,20,203,4725,"macho",2009
